"Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","aqiMean","latMean","longMean","Month","Year"
1-08-20,"Clemmons Middle","PM2.5","Forsyth",51.5,36.026,-80.342,1,2020
1-08-20,"Durham Armory","PM2.5","Durham",37.3333333333333,36.0329550008979,-78.904037,1,2020
1-08-20,"Frying Pan Mountain","Ozone","Haywood",42,35.379167,-82.7925,1,2020
1-08-20,"Frying Pan Mountain","PM2.5","Haywood",3,35.379167,-82.7925,1,2020
1-08-20,"Garinger High School","Ozone","Mecklenburg",24,35.2401000008895,-80.785683,1,2020
1-08-20,"Garinger High School","PM2.5","Mecklenburg",42,35.2401000008895,-80.785683,1,2020
1-08-20,"Hattie Avenue","PM2.5","Forsyth",41.25,36.110693332,-80.2264378,1,2020
1-08-20,"Leggett","PM2.5","Edgecombe",30.5,35.988278,-77.5843,1,2020
1-08-20,"Linville Falls","PM2.5","Avery",22,35.972347,-81.933072,1,2020
1-08-20,"Mendenhall School","PM2.5","Guilford",37.5,36.1090060008986,-79.802314,1,2020
1-08-20,"Millbrook School","Ozone","Wake",30,35.856111,-78.574167,1,2020
1-08-20,"Millbrook School","PM2.5","Wake",44.5,35.856111,-78.574167,1,2020
1-08-20,"Pitt Agri. Center","PM2.5","Pitt",28.6666666666667,35.6412760008938,-77.360126,1,2020
1-08-20,"West Johnston Co.","Ozone","Johnston",38,35.59095,-78.4622,1,2020
1-08-20,"West Johnston Co.","PM2.5","Johnston",35,35.59095,-78.4622,1,2020
1-09-20,"Bryson City","PM2.5","Swain",45.5,35.434767,-83.442133,1,2020
1-09-20,"Castle Hayne","PM2.5","New Hanover",15.5,34.364167,-77.838611,1,2020
1-09-20,"Clemmons Middle","PM2.5","Forsyth",27.3333333333333,36.026,-80.342,1,2020
1-09-20,"Durham Armory","PM2.5","Durham",28.3333333333333,36.0329550008979,-78.904037,1,2020
1-09-20,"Frying Pan Mountain","Ozone","Haywood",38,35.379167,-82.7925,1,2020
1-09-20,"Garinger High School","Ozone","Mecklenburg",31,35.2401000008895,-80.785683,1,2020
1-09-20,"Garinger High School","PM2.5","Mecklenburg",19,35.2401000008895,-80.785683,1,2020
1-09-20,"Hattie Avenue","PM2.5","Forsyth",24.6666666666667,36.110693332,-80.2264378,1,2020
1-09-20,"Leggett","PM2.5","Edgecombe",10.5,35.988278,-77.5843,1,2020
1-09-20,"Linville Falls","PM2.5","Avery",5,35.972347,-81.933072,1,2020
1-09-20,"Mendenhall School","PM2.5","Guilford",24,36.1090060008986,-79.802314,1,2020
1-09-20,"Millbrook School","Ozone","Wake",32,35.856111,-78.574167,1,2020
1-09-20,"Millbrook School","PM2.5","Wake",23.5,35.856111,-78.574167,1,2020
1-09-20,"Pitt Agri. Center","PM2.5","Pitt",18,35.6412760008938,-77.360126,1,2020
1-09-20,"West Johnston Co.","Ozone","Johnston",35,35.59095,-78.4622,1,2020
1-09-20,"West Johnston Co.","PM2.5","Johnston",27.5,35.59095,-78.4622,1,2020
1-10-20,"Bryson City","PM2.5","Swain",38,35.434767,-83.442133,1,2020
1-10-20,"Castle Hayne","PM2.5","New Hanover",11.5,34.364167,-77.838611,1,2020
1-10-20,"Clemmons Middle","PM2.5","Forsyth",33,36.026,-80.342,1,2020
1-10-20,"Durham Armory","PM2.5","Durham",34,36.0329550008979,-78.904037,1,2020
1-10-20,"Frying Pan Mountain","Ozone","Haywood",45,35.379167,-82.7925,1,2020
1-10-20,"Garinger High School","Ozone","Mecklenburg",28,35.2401000008895,-80.785683,1,2020
1-10-20,"Garinger High School","PM2.5","Mecklenburg",24,35.2401000008895,-80.785683,1,2020
1-10-20,"Hattie Avenue","PM2.5","Forsyth",28,36.110693332,-80.2264378,1,2020
1-10-20,"Leggett","PM2.5","Edgecombe",21.5,35.988278,-77.5843,1,2020
1-10-20,"Mendenhall School","PM2.5","Guilford",17.5,36.1090060008986,-79.802314,1,2020
1-10-20,"Millbrook School","Ozone","Wake",30,35.856111,-78.574167,1,2020
1-10-20,"Millbrook School","PM2.5","Wake",27.6666666666667,35.856111,-78.574167,1,2020
1-10-20,"Pitt Agri. Center","PM2.5","Pitt",26,35.6412760008938,-77.360126,1,2020
1-10-20,"West Johnston Co.","Ozone","Johnston",27,35.59095,-78.4622,1,2020
1-10-20,"West Johnston Co.","PM2.5","Johnston",26.5,35.59095,-78.4622,1,2020
1-11-20,"Bryson City","PM2.5","Swain",28,35.434767,-83.442133,1,2020
1-11-20,"Castle Hayne","PM2.5","New Hanover",14,34.364167,-77.838611,1,2020
1-11-20,"Clemmons Middle","PM2.5","Forsyth",47.5,36.026,-80.342,1,2020
1-11-20,"Durham Armory","PM2.5","Durham",44,36.0329550008979,-78.904037,1,2020
1-11-20,"Frying Pan Mountain","Ozone","Haywood",51,35.379167,-82.7925,1,2020
1-11-20,"Frying Pan Mountain","PM2.5","Haywood",0,35.379167,-82.7925,1,2020
1-11-20,"Garinger High School","Ozone","Mecklenburg",27.5,35.2401000008895,-80.785683,1,2020
1-11-20,"Garinger High School","PM2.5","Mecklenburg",33,35.2401000008895,-80.785683,1,2020
1-11-20,"Hattie Avenue","PM2.5","Forsyth",43.3333333333333,36.110693332,-80.2264378,1,2020
1-11-20,"Leggett","PM2.5","Edgecombe",22.5,35.988278,-77.5843,1,2020
1-11-20,"Linville Falls","PM2.5","Avery",3,35.972347,-81.933072,1,2020
1-11-20,"Mendenhall School","PM2.5","Guilford",40,36.1090060008986,-79.802314,1,2020
1-11-20,"Millbrook School","Ozone","Wake",27,35.856111,-78.574167,1,2020
1-11-20,"Millbrook School","PM2.5","Wake",31.25,35.856111,-78.574167,1,2020
1-11-20,"Pitt Agri. Center","PM2.5","Pitt",24.6666666666667,35.6412760008938,-77.360126,1,2020
1-11-20,"West Johnston Co.","Ozone","Johnston",29,35.59095,-78.4622,1,2020
1-11-20,"West Johnston Co.","PM2.5","Johnston",38.5,35.59095,-78.4622,1,2020
1-12-20,"Bryson City","PM2.5","Swain",28.5,35.434767,-83.442133,1,2020
1-12-20,"Castle Hayne","PM2.5","New Hanover",9,34.364167,-77.838611,1,2020
